date, pm25, pm10, o3, no2, co
2015/5/24, 33, 9, 34, 1, 1
2015/5/25, 26, 8, 28, 1, 1
2015/5/26, 21, 11, 30, 1, 1
2015/5/27, 25, 13, 32, , 
2015/5/28, 33, 10, 33, 3, 1
2015/5/29, 24, 8, 36, 1, 1
2015/5/30, 22, 11, 33, 1, 1
2015/5/31, 29, 11, 34, 1, 1
2015/6/1, 28, 13, 32, , 
2015/6/2, 36, 13, 28, 4, 
2015/6/3, 32, 10, 33, , 
2015/6/4, 28, 8, 36, , 1
2015/6/5, 21, 15, 36, 2, 1
2015/6/6, 38, 13, 43, 2, 1
2015/6/7, 31, 10, 32, , 1
2015/6/8, 26, 12, 32, , 1
2015/6/9, 31, 10, 29, 3, 1
2015/6/10, 18, 11, 38, 3, 1
2015/6/11, 21, 14, 31, 1, 1
2015/6/12, 27, 19, 33, 3, 1
2015/6/13, 43, 7, 42, 5, 1
2015/6/14, 19, 9, 36, , 1
2015/6/15, 20, 11, 30, , 
2015/6/16, 22, 10, 34, , 1
2015/6/17, 23, 81, 33, 1, 1
2015/6/18, 19, 13, 27, 1, 1
2015/6/19, 18, 4, 29, 1, 1
2015/6/20, 27, 23, 29, 1, 1
2015/6/21, 26, 38, 28, , 1
2015/6/22, 20, 35, 28, 2, 1
2015/6/23, 30, 10, 32, 2, 1
2015/6/24, 35, 8, 30, 1, 1
2015/6/25, 23, 7, 31, , 1
2015/6/26, 22, 10, 30, , 1
2015/6/27, 32, 10, 25, 4, 1
2015/6/28, 29, 10, 27, 1, 
2015/6/29, 30, 9, 31, 1, 1
2015/6/30, 26, 12, 27, 1, 
2015/1/1, 56, 11, 33, 1, 1
2015/1/2, 25, 12, 33, 1, 1
2015/1/3, 23, 14, 31, 1, 1
2015/1/4, 31, 8, 29, 8, 1
2015/1/5, 27, 8, 19, 6, 1
2015/1/6, 27, 13, 24, 5, 1
2015/1/7, 35, 10, 22, 4, 1
2015/1/8, 24, 19, 34, 1, 1
2015/1/9, 35, 18, 34, , 1
2015/1/10, 31, 13, 33, , 1
2015/1/11, 29, 14, 32, 1, 1
2015/1/12, 30, 15, 31, 4, 1
2015/1/13, 32, 8, 29, 2, 1
2015/1/14, 22, 8, 26, 4, 1
2015/1/15, 19, 15, 29, 2, 1
2015/1/16, 35, 13, 30, 2, 1
2015/1/17, 31, 15, 19, 6, 1
